episode,steps,return_train,return_plot,actual_score,avg_train_100,avg_plot_100,avg_score_100,max_plot,ecoef,coef_dis
16400,111796,219.08999999999997,182.0,187.0,225.455,218.16,225.69,1187.0,0.04121951219512195,0.8
16500,112515,124.14,120.0,131.0,238.55560000000003,230.82,238.1,1187.0,0.04121951219512195,0.8
16600,113241,525.88,495.0,503.0,257.5185,243.8,250.64,1187.0,0.04121951219512195,0.8
16700,113944,236.6,232.0,236.0,255.58379999999997,246.91,254.31,1187.0,0.04121951219512195,0.8
16800,114684,274.9,207.0,215.0,243.29940000000002,244.87,252.01,1187.0,0.04121951219512195,0.8
16900,115382,135.9,111.0,122.0,230.7661,219.34,226.3,1187.0,0.04089430894308943,0.8
17000,116065,266.9,248.0,252.0,264.4741,254.95,262.35,1187.0,0.04089430894308943,0.8
17100,116761,78.35,132.0,138.0,237.08810000000003,230.06,237.32,1187.0,0.04089430894308943,0.8
17200,117482,184.82999999999998,163.0,171.0,258.42370000000005,243.38,250.79,1187.0,0.04089430894308943,0.8
17300,118170,350.02,356.0,365.0,261.55400000000003,249.56,256.99,1187.0,0.04089430894308943,0.8
17400,118873,562.38,508.0,514.0,252.36469999999997,242.48,249.82,1187.0,0.040569105691056914,0.8
17500,119603,277.0,277.0,280.0,247.75619999999998,238.75,246.37,1187.0,0.040569105691056914,0.8
17600,120331,70.7,90.0,93.0,227.12610000000004,222.91,230.18,1187.0,0.040569105691056914,0.8
17700,121071,329.46999999999997,312.0,320.0,231.71040000000002,228.77,235.96,1187.0,0.040569105691056914,0.8
17800,121789,285.98,325.0,334.0,263.7571,248.76,256.36,1187.0,0.040569105691056914,0.8
17900,122508,199.04000000000002,154.0,163.0,244.84300000000002,228.5,235.86,1187.0,0.040569105691056914,0.8
18000,123241,340.5,301.0,308.0,271.94149999999996,260.47,268.0,1187.0,0.04024390243902439,0.8
18100,123962,309.29999999999995,290.0,298.0,249.7397,238.16,245.7,1187.0,0.04024390243902439,0.8
18200,124697,155.9,137.0,146.0,242.47030000000004,236.02,243.59,1187.0,0.04024390243902439,0.8
18300,125422,221.98,183.0,192.0,256.49580000000003,244.3,251.79,1187.0,0.04024390243902439,0.8
18400,126156,299.07,284.0,291.0,258.8983,243.13,250.52,1187.0,0.04024390243902439,0.8
18500,126894,257.0,257.0,262.0,270.78959999999995,252.62,260.33,1187.0,0.04024390243902439,0.8
18600,127641,199.7,172.0,179.0,254.16030000000003,245.33,253.22,1187.0,0.039918699186991875,0.8
18700,128374,191.2,154.0,162.0,256.79920000000004,256.41,264.55,1187.0,0.039918699186991875,0.8
18800,129112,129.58,176.0,186.0,258.2084,237.98,246.24,1187.0,0.039918699186991875,0.8
18900,129850,155.66,158.0,163.0,276.17470000000003,265.69,273.25,1187.0,0.039918699186991875,0.8
19000,130612,187.12,159.0,165.0,286.2274,260.15,268.39,1187.0,0.039918699186991875,0.8
19100,131369,221.53,198.0,207.0,271.2238,256.52,264.04,1187.0,0.03959349593495935,0.8
19200,132118,190.0,190.0,199.0,262.6147,257.53,265.0,1187.0,0.03959349593495935,0.8
19300,132875,394.36,333.0,342.0,273.1457,253.47,261.13,1187.0,0.03959349593495935,0.8
19400,133641,536.4,484.0,492.0,277.94470000000007,258.09,266.03,1187.0,0.03959349593495935,0.8
19500,134393,296.57,271.0,277.0,253.2995,236.07,243.8,1187.0,0.03959349593495935,0.8
19600,135160,188.58,154.0,159.0,258.565,253.76,261.34,1187.0,0.03959349593495935,0.8
19700,135897,135.68,160.0,167.0,273.3809,251.41,258.84,1187.0,0.03926829268292683,0.8
19800,136648,275.26,200.0,205.0,247.47719999999993,237.3,244.9,1187.0,0.03926829268292683,0.8
19900,137378,252.3,230.0,236.0,278.57169999999996,260.66,268.21,1187.0,0.03926829268292683,0.8
20000,138150,320.9,290.0,298.0,276.3358,259.82,267.66,1187.0,0.03926829268292683,0.8
20100,138890,282.96000000000004,239.0,248.0,250.2613,244.82,252.19,1187.0,0.03926829268292683,0.8
20200,139653,436.38,366.0,376.0,250.27880000000005,235.02,242.84,1187.0,0.03894308943089431,0.8
20300,140446,287.88,264.0,270.0,267.11300000000006,249.22,257.37,1187.0,0.03894308943089431,0.8
20400,141232,215.35999999999999,233.0,242.0,274.028,254.28,262.31,1187.0,0.03894308943089431,0.8
20500,142022,328.74,213.0,220.0,300.83290000000005,277.59,286.03,1187.0,0.03894308943089431,0.8
20600,142793,120.05999999999999,100.0,113.0,283.9453000000001,258.37,266.43,1187.0,0.03894308943089431,0.8
20700,143571,258.33,218.0,227.0,278.99760000000003,254.91,262.98,1187.0,0.03861788617886179,0.8
20800,144334,259.17,215.0,228.0,300.54780000000005,279.43,287.45,1187.0,0.03861788617886179,0.8
20900,145097,238.86,239.0,252.0,292.06649999999996,271.08,279.75,1187.0,0.03861788617886179,0.8
21000,145869,297.06,337.0,344.0,264.8745,249.09,257.25,1187.0,0.03861788617886179,0.8
21100,146640,213.44,157.0,166.0,277.7567,255.99,264.12,1187.0,0.03861788617886179,0.8
21200,147417,351.46999999999997,293.0,300.0,270.4849,256.03,264.61,1187.0,0.03861788617886179,0.8
