episode,t,action,reward,remaining_plays,remaining_discards,hand_before,cards,deck_remaining,advantage
12,1,play,132.0,4,3,"[""9H"", ""10D"", ""13S"", ""9S"", ""13D"", ""2S"", ""10C"", ""11S""]","[""9H"", ""10D"", ""13S"", ""9S"", ""13D"", ""2S"", ""10C"", ""11S""]","[""1H"", ""2H"", ""3H"", ""4H"", ""5H"", ""6H"", ""7H"", ""8H"", ""11H"", ""13H"", ""1D"", ""2D"", ""3D"", ""4D"", ""5D"", ""6D"", ""8D"", ""9D"", ""12D"", ""2C"", ""3C"", ""5C"", ""6C"", ""7C"", ""8C"", ""9C"", ""11C"", ""12C"", ""13C"", ""3S"", ""4S"", ""5S"", ""6S"", ""7S"", ""8S"", ""12S""]",-28.379182739257885
12,2,play,84.0,3,3,"[""1C"", ""10S"", ""4C"", ""11D"", ""7D"", ""1S"", ""12H"", ""10H""]","[""1C"", ""10S"", ""4C"", ""11D"", ""7D"", ""1S"", ""12H"", ""10H""]","[""2H"", ""3H"", ""4H"", ""5H"", ""6H"", ""7H"", ""11H"", ""1D"", ""3D"", ""4D"", ""5D"", ""8D"", ""9D"", ""12D"", ""3C"", ""5C"", ""7C"", ""8C"", ""9C"", ""11C"", ""12C"", ""13C"", ""3S"", ""4S"", ""5S"", ""6S"", ""7S"", ""12S""]",-42.61309082031249
12,3,play,96.0,2,3,"[""6C"", ""8H"", ""8S"", ""2D"", ""6D"", ""2C"", ""1H"", ""13H""]","[""6C"", ""8H"", ""8S"", ""2D"", ""6D"", ""2C"", ""1H"", ""13H""]","[""3H"", ""4H"", ""5H"", ""6H"", ""7H"", ""11H"", ""4D"", ""8D"", ""12D"", ""3C"", ""7C"", ""8C"", ""11C"", ""12C"", ""13C"", ""4S"", ""5S"", ""6S"", ""7S"", ""12S""]",-17.148658905029265
12,4,play,96.0,1,3,"[""3S"", ""1D"", ""5D"", ""9D"", ""3D"", ""5C"", ""9C"", ""2H""]","[""3S"", ""1D"", ""5D"", ""9D"", ""3D"", ""5C"", ""9C"", ""2H""]","[""3H"", ""4H"", ""5H"", ""7H"", ""4D"", ""8D"", ""12D"", ""3C"", ""7C"", ""8C"", ""12C"", ""6S""]",13.586989288330074
12,5,play,64.0,0,3,"[""11C"", ""7S"", ""11H"", ""12S"", ""6H"", ""4S"", ""13C"", ""5S""]","[""11C"", ""7S"", ""11H"", ""12S"", ""6H"", ""4S"", ""13C"", ""5S""]","[""7H"", ""4D"", ""8C"", ""12C""]",-69.62895202636719
13,1,play,200.0,4,3,"[""10C"", ""2S"", ""1D"", ""3H"", ""4D"", ""13D"", ""5H"", ""6D""]","[""10C"", ""2S"", ""1D"", ""3H"", ""4D"", ""13D"", ""5H"", ""6D""]","[""1H"", ""2H"", ""4H"", ""7H"", ""8H"", ""9H"", ""10H"", ""12H"", ""13H"", ""2D"", ""3D"", ""5D"", ""8D"", ""9D"", ""10D"", ""11D"", ""12D"", ""1C"", ""2C"", ""3C"", ""5C"", ""7C"", ""8C"", ""9C"", ""13C"", ""1S"", ""3S"", ""4S"", ""5S"", ""6S"", ""8S"", ""9S"", ""10S"", ""11S"", ""12S"", ""13S""]",125.23483215332033
13,2,play,112.0,3,3,"[""6H"", ""6C"", ""11C"", ""7S"", ""7D"", ""11H"", ""4C"", ""12C""]","[""6H"", ""6C"", ""11C"", ""7S"", ""7D"", ""11H"", ""4C"", ""12C""]","[""1H"", ""4H"", ""7H"", ""8H"", ""9H"", ""12H"", ""13H"", ""2D"", ""3D"", ""5D"", ""8D"", ""9D"", ""10D"", ""11D"", ""12D"", ""2C"", ""3C"", ""7C"", ""8C"", ""9C"", ""13C"", ""3S"", ""4S"", ""5S"", ""6S"", ""11S"", ""12S"", ""13S""]",-46.71244018554688
13,3,play,84.0,2,3,"[""9S"", ""1C"", ""5C"", ""10H"", ""1S"", ""10S"", ""8S"", ""2H""]","[""9S"", ""1C"", ""5C"", ""10H"", ""1S"", ""10S"", ""8S"", ""2H""]","[""1H"", ""4H"", ""7H"", ""9H"", ""12H"", ""13H"", ""2D"", ""3D"", ""5D"", ""8D"", ""9D"", ""12D"", ""3C"", ""7C"", ""13C"", ""3S"", ""5S"", ""6S"", ""11S"", ""12S""]",-12.513887176513663
13,4,play,52.0,1,3,"[""2C"", ""11D"", ""10D"", ""8H"", ""13S"", ""4S"", ""9C"", ""8C""]","[""2C"", ""11D"", ""10D"", ""8H"", ""13S"", ""4S"", ""9C"", ""8C""]","[""4H"", ""9H"", ""12H"", ""13H"", ""2D"", ""5D"", ""9D"", ""13C"", ""3S"", ""5S"", ""11S"", ""12S""]",-89.34491767883301
13,5,play,80.0,0,3,"[""7C"", ""3C"", ""3D"", ""12D"", ""6S"", ""7H"", ""8D"", ""1H""]","[""7C"", ""3C"", ""3D"", ""12D"", ""6S"", ""7H"", ""8D"", ""1H""]","[""9H"", ""13H"", ""2D"", ""9D""]",-27.836952209472656
14,1,play,88.0,4,3,"[""8S"", ""6H"", ""4D"", ""9D"", ""4H"", ""2H"", ""8H"", ""5S""]","[""8S"", ""6H"", ""4D"", ""9D"", ""4H"", ""2H"", ""8H"", ""5S""]","[""1H"", ""3H"", ""5H"", ""9H"", ""10H"", ""11H"", ""12H"", ""13H"", ""2D"", ""3D"", ""5D"", ""6D"", ""7D"", ""10D"", ""11D"", ""13D"", ""1C"", ""2C"", ""3C"", ""4C"", ""5C"", ""6C"", ""7C"", ""8C"", ""10C"", ""11C"", ""12C"", ""13C"", ""2S"", ""4S"", ""6S"", ""7S"", ""9S"", ""11S"", ""12S"", ""13S""]",-23.585028381347684
